level_0,index,team,code,name,surname,laps,time,grand_prix,date
0,A,Ferrari,ALO,Fernando,Alonso,49,1:39:20.396,                         Bahrain                     ,14 Mar 2010
1,B,McLaren Mercedes,BUT,Jenson,Button,58,1:33:36.531,                         Australia                     ,28 Mar 2010
2,C,RBR Renault,VET,Sebastian,Vettel,56,1:33:48.412,                         Malaysia                     ,04 Apr 2010
3,D,McLaren Mercedes,BUT,Jenson,Button,56,1:46:42.163,                         China                     ,18 Apr 2010
4,E,RBR Renault,WEB,Mark,Webber,66,1:35:44.101,                         Spain                     ,09 May 2010
5,F,RBR Renault,WEB,Mark,Webber,78,1:50:13.355,                         Monaco                     ,16 May 2010
6,G,McLaren Mercedes,HAM,Lewis,Hamilton,58,1:28:47.620,                         Turkey                     ,30 May 2010
7,H,McLaren Mercedes,HAM,Lewis,Hamilton,70,1:33:53.456,                         Canada                     ,13 Jun 2010
8,J,RBR Renault,VET,Sebastian,Vettel,57,1:40:29.571,                         Europe                     ,27 Jun 2010
9,K,RBR Renault,WEB,Mark,Webber,52,1:24:38.200,                         Great Britain                     ,11 Jul 2010
10,L,Ferrari,ALO,Fernando,Alonso,67,1:27:38.864,                         Germany                     ,25 Jul 2010
11,I,RBR Renault,WEB,Mark,Webber,70,1:41:05.571,                         Hungary                     ,01 Aug 2010
12,M,McLaren Mercedes,HAM,Lewis,Hamilton,44,1:29:04.268,                         Belgium                     ,29 Aug 2010
13,P,Ferrari,ALO,Fernando,Alonso,53,1:16:24.572,                         Italy                     ,12 Sep 2010
14,R,Ferrari,ALO,Fernando,Alonso,61,1:57:53.579,                         Singapore                     ,26 Sep 2010
15,S,RBR Renault,VET,Sebastian,Vettel,53,1:30:27.323,                         Japan                     ,10 Oct 2010
16,V,Ferrari,ALO,Fernando,Alonso,55,2:48:20.810,                         South Korea                     ,24 Oct 2010
17,X,RBR Renault,VET,Sebastian,Vettel,71,1:33:11.803,                         Brazil                     ,07 Nov 2010
18,Q,RBR Renault,VET,Sebastian,Vettel,55,1:39:36.837,                         Abu Dhabi                     ,14 Nov 2010
0,A,Red Bull Racing Renault,VET,Sebastian,Vettel,58,1:29:30.259,                         Australia                     ,27 Mar 2011
1,B,Red Bull Racing Renault,VET,Sebastian,Vettel,56,1:37:39.832,                         Malaysia                     ,10 Apr 2011
2,C,McLaren Mercedes,HAM,Lewis,Hamilton,56,1:36:58.226,                         China                     ,17 Apr 2011
3,D,Red Bull Racing Renault,VET,Sebastian,Vettel,58,1:30:17.558,                         Turkey                     ,08 May 2011
4,E,Red Bull Racing Renault,VET,Sebastian,Vettel,66,1:39:03.301,                         Spain                     ,22 May 2011
5,F,Red Bull Racing Renault,VET,Sebastian,Vettel,78,2:09:38.373,                         Monaco                     ,29 May 2011
6,G,McLaren Mercedes,BUT,Jenson,Button,70,4:04:39.537,                         Canada                     ,12 Jun 2011
7,H,Red Bull Racing Renault,VET,Sebastian,Vettel,57,1:39:36.169,                         Europe                     ,26 Jun 2011
8,J,Ferrari,ALO,Fernando,Alonso,52,1:28:41.196,                         Great Britain                     ,10 Jul 2011
9,K,McLaren Mercedes,HAM,Lewis,Hamilton,60,1:37:30.334,                         Germany                     ,24 Jul 2011
10,L,McLaren Mercedes,BUT,Jenson,Button,70,1:46:42.337,                         Hungary                     ,31 Jul 2011
11,I,Red Bull Racing Renault,VET,Sebastian,Vettel,44,1:26:44.893,                         Belgium                     ,28 Aug 2011
12,M,Red Bull Racing Renault,VET,Sebastian,Vettel,53,1:20:46.172,                         Italy                     ,11 Sep 2011
13,P,Red Bull Racing Renault,VET,Sebastian,Vettel,61,1:59:06.757,                         Singapore                     ,25 Sep 2011
14,R,McLaren Mercedes,BUT,Jenson,Button,53,1:30:53.427,                         Japan                     ,09 Oct 2011
15,S,Red Bull Racing Renault,VET,Sebastian,Vettel,55,1:38:01.994,                         South Korea                     ,16 Oct 2011
16,V,Red Bull Racing Renault,VET,Sebastian,Vettel,60,1:30:35.002,                         India                     ,30 Oct 2011
17,X,McLaren Mercedes,HAM,Lewis,Hamilton,55,1:37:11.886,                         Abu Dhabi                     ,13 Nov 2011
18,Q,Red Bull Racing Renault,WEB,Mark,Webber,71,1:32:17.464,                         Brazil                     ,27 Nov 2011
0,A,McLaren Mercedes,BUT,Jenson,Button,58,1:34:09.565,                         Australia                     ,18 Mar 2012
1,B,Ferrari,ALO,Fernando,Alonso,56,2:44:51.812,                         Malaysia                     ,25 Mar 2012
2,C,Mercedes,ROS,Nico,Rosberg,56,1:36:26.929,                         China                     ,15 Apr 2012
3,D,Red Bull Racing Renault,VET,Sebastian,Vettel,57,1:35:10.990,                         Bahrain                     ,22 Apr 2012
4,E,Williams Renault,MAL,Pastor,Maldonado,66,1:39:09.145,                         Spain                     ,13 May 2012
5,F,Red Bull Racing Renault,WEB,Mark,Webber,78,1:46:06.557,                         Monaco                     ,27 May 2012
6,G,McLaren Mercedes,HAM,Lewis,Hamilton,70,1:32:29.586,                         Canada                     ,10 Jun 2012
7,H,Ferrari,ALO,Fernando,Alonso,57,1:44:16.649,                         Europe                     ,24 Jun 2012
8,J,Red Bull Racing Renault,WEB,Mark,Webber,52,1:25:11.288,                         Great Britain                     ,08 Jul 2012
9,K,Ferrari,ALO,Fernando,Alonso,67,1:31:05.862,                         Germany                     ,22 Jul 2012
10,L,McLaren Mercedes,HAM,Lewis,Hamilton,69,1:41:05.503,                         Hungary                     ,29 Jul 2012
11,I,McLaren Mercedes,BUT,Jenson,Button,44,1:29:08.530,                         Belgium                     ,02 Sep 2012
12,M,McLaren Mercedes,HAM,Lewis,Hamilton,53,1:19:41.221,                         Italy                     ,09 Sep 2012
13,P,Red Bull Racing Renault,VET,Sebastian,Vettel,59,2:00:26.144,                         Singapore                     ,23 Sep 2012
14,R,Red Bull Racing Renault,VET,Sebastian,Vettel,53,1:28:56.242,                         Japan                     ,07 Oct 2012
15,S,Red Bull Racing Renault,VET,Sebastian,Vettel,55,1:36:28.651,                         South Korea                     ,14 Oct 2012
16,V,Red Bull Racing Renault,VET,Sebastian,Vettel,60,1:31:10.744,                         India                     ,28 Oct 2012
17,X,Lotus Renault,RAI,Kimi,Räikkönen,55,1:45:58.667,                         Abu Dhabi                     ,04 Nov 2012
18,Q,McLaren Mercedes,HAM,Lewis,Hamilton,56,1:35:55.269,                         United States                       ,18 Nov 2012
19,Z,McLaren Mercedes,BUT,Jenson,Button,71,1:45:22.656,                         Brazil                     ,25 Nov 2012
0,A,Lotus Renault,RAI,Kimi,Räikkönen,58,1:30:03.225,                         Australia                     ,17 Mar 2013
1,B,Red Bull Racing Renault,VET,Sebastian,Vettel,56,1:38:56.681,                         Malaysia                     ,24 Mar 2013
2,C,Ferrari,ALO,Fernando,Alonso,56,1:36:26.945,                         China                     ,14 Apr 2013
3,D,Red Bull Racing Renault,VET,Sebastian,Vettel,57,1:36:00.498,                         Bahrain                     ,21 Apr 2013
4,E,Ferrari,ALO,Fernando,Alonso,66,1:39:16.596,                         Spain                     ,12 May 2013
5,F,Mercedes,ROS,Nico,Rosberg,78,2:17:52.056,                         Monaco                     ,26 May 2013
